asset_type,market,code,name,quantity,avg_price,note
STOCK,KR,005490,POSCO홀딩스,7,435500,
STOCK,KR,005930,삼성전자,4,60100,
STOCK,KR,005935,삼성전자우,5,187520,
STOCK,KR,007660,이수페타시스,5,133960,
STOCK,KR,010780,아이에스동서,1,38450,
STOCK,KR,094360,챔스미디어,9,27361,
STOCK,KR,247540,에코프로비엠,4,268000,
STOCK,KR,304100,솔트룩스,3,29383,
STOCK,KR,010120,LS ELECTRIC,4,259375,
STOCK,KR,103590,일진전기,10,92400,
ETF,KR,445290,KODEX 로봇액티브,20,48250,
ETF,KR,487240,KODEX AI전력핵심설비,20,50775,
ETF,US,QQQ,Invesco QQQ Trust,1,907209,
ETF,US,SPYG,SPDR Portfolio S&P500 Growth,7,157479,
ETF,US,SCHD,Schwab U.S. Dividend Equity ETF,26,40186,
ETF,US,VOO,Vanguard S&P500 ETF,2,907785,
ETF,US,BOTT,THEMES HUMANOID ROBOTICS ETF,3,82969,
ETF,KR,360750,TIGER 미국S&P500,55,24635,
ETF,KR,426030,TIME 미국나스닥100액티브,30,35102,
ETF,KR,458730,TIGER 미국배당다운존스,56,14074,
ETF,KR,364970,TIGER 바이오TOP10,10,7520,
ETF,KR,465580,RISE 미국AI밸류체인TOP3Plus,47,17987,
ETF,KR,464310,TIGER 글로벌AI&로보틱스INDXX,10,17165,
ETF,KR,441680,TIGER 미국나스닥100타겟데일리커버드콜,111,10719,
ETF,KR,0167A0,SOL AI반도체TOP2플러스,5,21215,
ETF,KR,395160,AI반도체TOP2플러스,3,45856,
ETF,KR,445290,KODEX 로봇액티브,20,48250,
ETF,KR,487240,KODEX AI전력핵심설비,20,50775,
CRYPTO,UPBIT,BTC,Bitcoin,0.02262805,113578728,
CRYPTO,UPBIT,XRP,Ripple,142.4412756,2104,
CRYPTO,UPBIT,ETH,Ethereum,0.0290587,3442000,
CRYPTO,UPBIT,ETH,Ethereum(Staking),0.78055486,4210075,staking
CRYPTO,UPBIT,SOL,Solana,6.0691077,183500,staking
